Feature,Importance
categorical__Drop Location_Mayur Vihar,2e-05
categorical__Drop Location_Aya Nagar,2e-05
categorical__Pickup Location_Chhatarpur,1.9e-05
categorical__Pickup Location_IMT Manesar,1.9e-05
categorical__Pickup Location_Saidulajab,1.9e-05
categorical__Drop Location_Tis Hazari,1.9e-05
categorical__Drop Location_Raj Nagar Extension,1.9e-05
categorical__Drop Location_Badshahpur,1.9e-05
categorical__Pickup Location_Okhla,1.8e-05
categorical__Drop Location_Nehru Place,1.8e-05
categorical__Drop Location_Pitampura,1.8e-05
categorical__Pickup Location_Indraprastha,1.8e-05
categorical__Drop Location_Akshardham,1.8e-05
categorical__Pickup Location_Aya Nagar,1.8e-05
categorical__Pickup Location_Vatika Chowk,1.8e-05
categorical__Pickup Location_Anand Vihar ISBT,1.7e-05
categorical__Drop Location_Kherki Daula Toll,1.7e-05
categorical__Pickup Location_Cyber Hub,1.7e-05
categorical__Pickup Location_Keshav Puram,1.7e-05
categorical__Drop Location_Noida Sector 18,1.7e-05
categorical__Drop Location_Chandni Chowk,1.7e-05
categorical__Drop Location_Khan Market,1.7e-05
categorical__Pickup Location_Jama Masjid,1.7e-05
categorical__Pickup Location_Barakhamba Road,1.6e-05
categorical__Drop Location_Kaushambi,1.6e-05
categorical__Drop Location_Pataudi Chowk,1.6e-05
categorical__Pickup Location_Udyog Vihar,1.6e-05
categorical__Pickup Location_IGNOU Road,1.6e-05
categorical__Pickup Location_Rajiv Chowk,1.6e-05
categorical__Drop Location_Sultanpur,1.6e-05
categorical__Pickup Location_Panchsheel Park,1.6e-05
categorical__Drop Location_Rithala,1.6e-05
categorical__Drop Location_Ramesh Nagar,1.5e-05
categorical__Drop Location_Vasant Kunj,1.5e-05
categorical__Drop Location_Gurgaon Sector 29,1.5e-05
categorical__Pickup Location_Welcome,1.5e-05
categorical__Pickup Location_Laxmi Nagar,1.5e-05
categorical__Drop Location_Paschim Vihar,1.5e-05
categorical__Pickup Location_Mundka,1.5e-05
categorical__Drop Location_Moti Nagar,1.5e-05
categorical__Drop Location_Ashram,1.5e-05
categorical__Drop Location_Inderlok,1.5e-05
categorical__Drop Location_Tughlakabad,1.5e-05
categorical__Drop Location_Botanical Garden,1.5e-05
categorical__Pickup Location_Sohna Road,1.5e-05
categorical__Drop Location_Subhash Nagar,1.5e-05
categorical__Pickup Location_Ghitorni,1.5e-05
categorical__Pickup Location_GTB Nagar,1.5e-05
categorical__Drop Location_Vidhan Sabha,1.5e-05
categorical__Pickup Location_South Extension,1.5e-05
categorical__Drop Location_Rohini West,1.5e-05
categorical__Drop Location_Kanhaiya Nagar,1.4e-05
categorical__Pickup Location_Chandni Chowk,1.4e-05
categorical__Pickup Location_Pulbangash,1.4e-05
categorical__Pickup Location_Rajiv Nagar,1.4e-05
categorical__Pickup Location_Anand Vihar,1.4e-05
categorical__Drop Location_Chhatarpur,1.4e-05
categorical__Drop Location_Sarai Kale Khan,1.4e-05
categorical__Drop Location_Munirka,1.4e-05
categorical__Drop Location_India Gate,1.4e-05
categorical__Pickup Location_Hauz Rani,1.4e-05
categorical__Drop Location_Anand Vihar,1.4e-05
categorical__Pickup Location_IGI Airport,1.4e-05
categorical__Drop Location_IIT Delhi,1.4e-05
categorical__Drop Location_Jor Bagh,1.4e-05
categorical__Pickup Location_Indirapuram,1.4e-05
categorical__Drop Location_Noida Film City,1.4e-05
categorical__Pickup Location_Mansarovar Park,1.4e-05
categorical__Drop Location_Madipur,1.4e-05
categorical__Pickup Location_Lok Kalyan Marg,1.3e-05
categorical__Pickup Location_Bhikaji Cama Place,1.3e-05
categorical__Pickup Location_Uttam Nagar,1.3e-05
categorical__Drop Location_Ardee City,1.3e-05
categorical__Pickup Location_Netaji Subhash Place,1.3e-05
categorical__Pickup Location_Model Town,1.3e-05
categorical__Pickup Location_Faridabad Sector 15,1.3e-05
categorical__Drop Location_IMT Manesar,1.3e-05
categorical__Pickup Location_Tughlakabad,1.3e-05
categorical__Pickup Location_Inderlok,1.3e-05
categorical__Drop Location_Connaught Place,1.3e-05
categorical__Drop Location_Greater Kailash,1.3e-05
categorical__Drop Location_Bhikaji Cama Place,1.3e-05
categorical__Pickup Location_Malviya Nagar,1.3e-05
categorical__Pickup Location_Gurgaon Railway Station,1.3e-05
categorical__Pickup Location_Mayur Vihar,1.3e-05
categorical__Pickup Location_Vishwavidyalaya,1.3e-05
categorical__Drop Location_Old Gurgaon,1.3e-05
categorical__Drop Location_Punjabi Bagh,1.2e-05
categorical__Pickup Location_MG Road,1.2e-05
categorical__Pickup Location_Golf Course Road,1.2e-05
categorical__Drop Location_Karol Bagh,1.2e-05
categorical__Drop Location_Samaypur Badli,1.2e-05
categorical__Drop Location_DLF City Court,1.2e-05
categorical__Pickup Location_Janakpuri,1.2e-05
categorical__Pickup Location_Jahangirpuri,1.2e-05
categorical__Drop Location_Anand Vihar ISBT,1.2e-05
categorical__Pickup Location_IFFCO Chowk,1.2e-05
categorical__Pickup Location_Khandsa,1.2e-05
categorical__Drop Location_Peeragarhi,1.2e-05
categorical__Pickup Location_Kalkaji,1.2e-05
categorical__Pickup Location_Civil Lines Gurgaon,1.2e-05
categorical__Pickup Location_Huda City Centre,1.2e-05
categorical__Drop Location_Tagore Garden,1.2e-05
categorical__Drop Location_MG Road,1.2e-05
categorical__Pickup Location_Dilshad Garden,1.2e-05
categorical__Pickup Location_Moolchand,1.2e-05
categorical__Drop Location_Cyber Hub,1.2e-05
categorical__Drop Location_Sohna Road,1.2e-05
categorical__Drop Location_Adarsh Nagar,1.2e-05
categorical__Drop Location_Central Secretariat,1.2e-05
categorical__Pickup Location_Kashmere Gate ISBT,1.2e-05
categorical__Drop Location_Kalkaji,1.2e-05
categorical__Pickup Location_Paschim Vihar,1.2e-05
categorical__Pickup Location_Paharganj,1.1e-05
categorical__Drop Location_Dwarka Sector 21,1.1e-05
categorical__Pickup Location_Gurgaon Sector 56,1.1e-05
categorical__Pickup Location_Karol Bagh,1.1e-05
categorical__Pickup Location_AIIMS,1.1e-05
categorical__Pickup Location_Ambience Mall,1.1e-05
categorical__Pickup Location_Mehrauli,1.1e-05
categorical__Pickup Location_Tilak Nagar,1.1e-05
categorical__Pickup Location_Moti Nagar,1.1e-05
categorical__Drop Location_Vinobapuri,1.1e-05
categorical__Drop Location_IGNOU Road,1.1e-05
categorical__Pickup Location_Arjangarh,1.1e-05
categorical__Drop Location_Lal Quila,1.1e-05
categorical__Pickup Location_Ghaziabad,1.1e-05
categorical__Drop Location_Shahdara,1.1e-05
categorical__Pickup Location_Noida Film City,1.1e-05
categorical__Pickup Location_Vaishali,1.1e-05
categorical__Pickup Location_Lal Quila,1.1e-05
categorical__Pickup Location_Adarsh Nagar,1.1e-05
categorical__Pickup Location_Ashram,1.1e-05
categorical__Drop Location_Rajiv Nagar,1.1e-05
categorical__Drop Location_New Delhi Railway Station,1.1e-05
categorical__Drop Location_Janakpuri,1.1e-05
categorical__Drop Location_Ghitorni Village,1.1e-05
categorical__Pickup Location_Ardee City,1.1e-05
categorical__Pickup Location_Greater Noida,1.1e-05
categorical__Pickup Location_Gwal Pahari,1.1e-05
categorical__Drop Location_Noida Sector 62,1.1e-05
categorical__Pickup Location_Chanakyapuri,1.1e-05
categorical__Pickup Location_DLF Phase 3,1.1e-05
categorical__Pickup Location_Narsinghpur,1.1e-05
categorical__Pickup Location_Badarpur,1.1e-05
categorical__Drop Location_Vaishali,1.1e-05
categorical__Pickup Location_Kherki Daula Toll,1.1e-05
categorical__Pickup Location_Satguru Ram Singh Marg,1.1e-05
categorical__Drop Location_Gurgaon Railway Station,1.1e-05
categorical__Drop Location_Hauz Rani,1.1e-05
categorical__Drop Location_Uttam Nagar,1e-05
categorical__Pickup Location_Pataudi Chowk,1e-05
categorical__Drop Location_Mehrauli,1e-05
categorical__Pickup Location_Tis Hazari,1e-05
categorical__Drop Location_Ghitorni,1e-05
categorical__Drop Location_Golf Course Road,1e-05
categorical__Drop Location_Mundka,1e-05
categorical__Drop Location_Satguru Ram Singh Marg,1e-05
categorical__Drop Location_Malviya Nagar,1e-05
categorical__Pickup Location_Sonipat,1e-05
categorical__Drop Location_Bahadurgarh,1e-05
categorical__Drop Location_GTB Nagar,1e-05
categorical__Drop Location_Narsinghpur,1e-05
categorical__Pickup Location_Rohini West,1e-05
categorical__Drop Location_Vishwavidyalaya,1e-05
categorical__Drop Location_Jhilmil,1e-05
categorical__Pickup Location_India Gate,1e-05
categorical__Drop Location_Mandi House,1e-05
categorical__Drop Location_ITO,1e-05
categorical__Drop Location_Kashmere Gate,1e-05
categorical__Drop Location_Keshav Puram,1e-05
categorical__Pickup Location_Noida Sector 62,1e-05
categorical__Drop Location_Khandsa,1e-05
categorical__Pickup Location_Central Secretariat,1e-05
categorical__Drop Location_Panipat,1e-05
categorical__Drop Location_Maidan Garhi,1e-05
categorical__Drop Location_INA Market,1e-05
categorical__Pickup Location_Dwarka Mor,1e-05
categorical__Drop Location_Gwal Pahari,1e-05
categorical__Pickup Location_Shivaji Park,1e-05
categorical__Drop Location_Hauz Khas,1e-05
categorical__Pickup Location_Green Park,1e-05
categorical__Pickup Location_Govindpuri,1e-05
categorical__Drop Location_Mansarovar Park,1e-05
categorical__Drop Location_Indirapuram,1e-05
categorical__Drop Location_Jahangirpuri,1e-05
categorical__Pickup Location_Mandi House,1e-05
categorical__Drop Location_Greater Noida,1e-05
categorical__Pickup Location_Raj Nagar Extension,1e-05
categorical__Drop Location_Sonipat,1e-05
categorical__Pickup Location_Panipat,1e-05
categorical__Drop Location_IFFCO Chowk,1e-05
categorical__Drop Location_Chanakyapuri,1e-05
categorical__Pickup Location_Udyog Bhawan,1e-05
categorical__Drop Location_Panchsheel Park,1e-05
categorical__Drop Location_Sikanderpur,1e-05
categorical__Drop Location_Okhla,9e-06
categorical__Drop Location_Dilshad Garden,9e-06
categorical__Pickup Location_Basai Dhankot,9e-06
categorical__Pickup Location_Khan Market,9e-06
categorical__Pickup Location_Nawada,9e-06
categorical__Pickup Location_Greater Kailash,9e-06
categorical__Pickup Location_Peeragarhi,9e-06
categorical__Drop Location_Udyog Vihar,9e-06
categorical__Pickup Location_New Delhi Railway Station,9e-06
categorical__Drop Location_Ashok Vihar,9e-06
categorical__Drop Location_South Extension,9e-06
categorical__Pickup Location_Shahdara,9e-06
categorical__Drop Location_Shastri Nagar,9e-06
categorical__Pickup Location_Hauz Khas,9e-06
categorical__Pickup Location_Vasant Kunj,9e-06
categorical__Drop Location_Model Town,9e-06
categorical__Drop Location_Bhiwadi,9e-06
categorical__Drop Location_Subhash Chowk,9e-06
categorical__Pickup Location_Rithala,9e-06
categorical__Drop Location_Faridabad Sector 15,9e-06
categorical__Pickup Location_Noida Extension,9e-06
categorical__Pickup Location_New Colony,9e-06
categorical__Drop Location_Rohini,9e-06
categorical__Drop Location_Saket,9e-06
categorical__Drop Location_Lok Kalyan Marg,9e-06
categorical__Pickup Location_Sadar Bazar Gurgaon,9e-06
categorical__Drop Location_Nawada,9e-06
categorical__Drop Location_Hero Honda Chowk,9e-06
categorical__Pickup Location_Saket A Block,9e-06
categorical__Pickup Location_Yamuna Bank,9e-06
categorical__Drop Location_Barakhamba Road,9e-06
categorical__Pickup Location_Kashmere Gate,9e-06
categorical__Pickup Location_Sushant Lok,9e-06
categorical__Drop Location_Netaji Subhash Place,9e-06
categorical__Drop Location_Green Park,9e-06
categorical__Pickup Location_Rajouri Garden,8e-06
categorical__Drop Location_Udyog Vihar Phase 4,8e-06
categorical__Drop Location_AIIMS,8e-06
categorical__Drop Location_Tilak Nagar,8e-06
categorical__Drop Location_Manesar,8e-06
categorical__Drop Location_Kadarpur,8e-06
categorical__Drop Location_IGI Airport,8e-06
categorical__Drop Location_Yamuna Bank,8e-06
categorical__Pickup Location_Qutub Minar,8e-06
categorical__Pickup Location_Azadpur,8e-06
categorical__Drop Location_Saket A Block,8e-06
categorical__Pickup Location_Munirka,8e-06
categorical__Drop Location_Rajouri Garden,8e-06
categorical__Drop Location_Patel Chowk,8e-06
categorical__Drop Location_Azadpur,8e-06
categorical__Drop Location_Sadar Bazar Gurgaon,8e-06
categorical__Pickup Location_Sarojini Nagar,8e-06
categorical__Drop Location_Paharganj,8e-06
categorical__Drop Location_Meerut,8e-06
categorical__Pickup Location_Seelampur,8e-06
categorical__Pickup Location_Manesar,8e-06
categorical__Drop Location_Sushant Lok,8e-06
categorical__Drop Location_Shivaji Park,8e-06
categorical__Drop Location_Arjangarh,8e-06
categorical__Pickup Location_Meerut,8e-06
categorical__Pickup Location_Kirti Nagar,8e-06
categorical__Drop Location_Vatika Chowk,8e-06
categorical__Pickup Location_IIT Delhi,8e-06
categorical__Pickup Location_Noida Sector 18,8e-06
categorical__Drop Location_Huda City Centre,8e-06
categorical__Drop Location_Rohini East,8e-06
categorical__Pickup Location_Preet Vihar,8e-06
categorical__Pickup Location_Dwarka Sector 21,8e-06
categorical__Pickup Location_Palam Vihar,8e-06
categorical__Pickup Location_Tagore Garden,8e-06
categorical__Drop Location_Kashmere Gate ISBT,8e-06
categorical__Pickup Location_Ashok Park Main,8e-06
categorical__Drop Location_Udyog Bhawan,8e-06
categorical__Pickup Location_Sarai Kale Khan,8e-06
categorical__Drop Location_Rajiv Chowk,8e-06
categorical__Pickup Location_Nehru Place,8e-06
categorical__Pickup Location_Connaught Place,8e-06
categorical__Pickup Location_Botanical Garden,8e-06
categorical__Pickup Location_Gurgaon Sector 29,8e-06
categorical__Drop Location_Pulbangash,8e-06
categorical__Pickup Location_Shastri Nagar,8e-06
categorical__Drop Location_Badarpur,8e-06
categorical__Pickup Location_Maidan Garhi,8e-06
categorical__Drop Location_Lajpat Nagar,8e-06
categorical__Pickup Location_Chirag Delhi,8e-06
categorical__Drop Location_Gurgaon Sector 56,7e-06
categorical__Pickup Location_Karkarduma,7e-06
categorical__Pickup Location_Old Gurgaon,7e-06
categorical__Pickup Location_Punjabi Bagh,7e-06
categorical__Drop Location_Kirti Nagar,7e-06
categorical__Drop Location_Chirag Delhi,7e-06
categorical__Pickup Location_DLF City Court,7e-06
categorical__Drop Location_Basai Dhankot,7e-06
categorical__Pickup Location_Vidhan Sabha,7e-06
categorical__Pickup Location_Madipur,7e-06
categorical__Drop Location_Palam Vihar,7e-06
categorical__Pickup Location_Bhiwadi,7e-06
categorical__Pickup Location_Nirman Vihar,7e-06
categorical__Pickup Location_Sikanderpur,7e-06
categorical__Drop Location_Sarojini Nagar,7e-06
categorical__Drop Location_Civil Lines Gurgaon,7e-06
categorical__Drop Location_Seelampur,7e-06
categorical__Pickup Location_Ashok Vihar,7e-06
categorical__Pickup Location_ITO,7e-06
categorical__Drop Location_DLF Phase 3,7e-06
categorical__Drop Location_Shastri Park,7e-06
categorical__Pickup Location_Kaushambi,7e-06
categorical__Drop Location_Jasola,6e-06
categorical__Pickup Location_Shastri Park,6e-06
categorical__Drop Location_Welcome,6e-06
categorical__Pickup Location_Hero Honda Chowk,6e-06
categorical__Pickup Location_RK Puram,6e-06
categorical__Pickup Location_Jor Bagh,6e-06
categorical__Drop Location_Delhi Gate,6e-06
categorical__Drop Location_Saidulajab,6e-06
categorical__Pickup Location_Jhilmil,6e-06
categorical__Drop Location_Ashok Park Main,6e-06
categorical__Pickup Location_Jasola,6e-06
categorical__Pickup Location_Rohini,6e-06
categorical__Pickup Location_Delhi Gate,6e-06
categorical__Drop Location_Ambience Mall,6e-06
categorical__Pickup Location_INA Market,6e-06
categorical__Pickup Location_Lajpat Nagar,6e-06
categorical__Pickup Location_Udyog Vihar Phase 4,6e-06
categorical__Drop Location_New Colony,6e-06
categorical__Pickup Location_Bahadurgarh,6e-06
categorical__Pickup Location_Saket,6e-06
categorical__Drop Location_Qutub Minar,5e-06
categorical__Pickup Location_Pitampura,5e-06
categorical__Drop Location_Karkarduma,5e-06
categorical__Pickup Location_Kadarpur,5e-06
categorical__Drop Location_Pragati Maidan,5e-06
categorical__Drop Location_Jama Masjid,5e-06
categorical__Drop Location_Indraprastha,5e-06
categorical__Drop Location_Laxmi Nagar,5e-06
categorical__Drop Location_Nirman Vihar,5e-06
categorical__Pickup Location_Ramesh Nagar,5e-06
