Feature,Importance
categorical__Pickup Location_Qutub Minar,6.2e-05
categorical__Pickup Location_South Extension,6.2e-05
categorical__Pickup Location_Jhilmil,6.2e-05
categorical__Pickup Location_Connaught Place,6.2e-05
categorical__Pickup Location_Model Town,6.2e-05
categorical__Pickup Location_Rohini,6.1e-05
categorical__Drop Location_Indraprastha,6.1e-05
categorical__Drop Location_Model Town,6.1e-05
categorical__Pickup Location_Seelampur,6.1e-05
categorical__Drop Location_Nirman Vihar,6.1e-05
categorical__Pickup Location_Raj Nagar Extension,6.1e-05
categorical__Drop Location_Satguru Ram Singh Marg,6.1e-05
categorical__Pickup Location_Badarpur,6.1e-05
categorical__Pickup Location_Greater Kailash,6.1e-05
categorical__Pickup Location_Bhiwadi,6.1e-05
categorical__Drop Location_Saidulajab,6.1e-05
categorical__Drop Location_Hauz Rani,6.1e-05
categorical__Pickup Location_Gwal Pahari,6.1e-05
categorical__Pickup Location_Green Park,6e-05
categorical__Drop Location_Bahadurgarh,6e-05
categorical__Drop Location_Ghitorni Village,5.9e-05
categorical__Pickup Location_Palam Vihar,5.9e-05
categorical__Drop Location_Adarsh Nagar,5.9e-05
categorical__Drop Location_Kashmere Gate ISBT,5.9e-05
categorical__Drop Location_Chandni Chowk,5.9e-05
categorical__Pickup Location_Nirman Vihar,5.9e-05
categorical__Pickup Location_Noida Sector 18,5.8e-05
categorical__Pickup Location_Hauz Khas,5.8e-05
categorical__Drop Location_Laxmi Nagar,5.7e-05
categorical__Pickup Location_ITO,5.7e-05
categorical__Drop Location_Gurgaon Sector 56,5.7e-05
categorical__Drop Location_Sushant Lok,5.6e-05
categorical__Pickup Location_Ghitorni,5.6e-05
categorical__Drop Location_Rajouri Garden,5.6e-05
categorical__Pickup Location_INA Market,5.6e-05
categorical__Drop Location_Nawada,5.6e-05
categorical__Pickup Location_Inderlok,5.5e-05
categorical__Pickup Location_India Gate,5.5e-05
categorical__Drop Location_Rajiv Nagar,5.4e-05
categorical__Drop Location_Arjangarh,5.4e-05
categorical__Drop Location_Maidan Garhi,5.4e-05
categorical__Drop Location_Karol Bagh,5.4e-05
categorical__Drop Location_Kadarpur,5.3e-05
categorical__Drop Location_Ardee City,5.1e-05
categorical__Pickup Location_New Delhi Railway Station,5.1e-05
categorical__Pickup Location_Rohini West,5.1e-05
categorical__Pickup Location_Kashmere Gate,4.8e-05
categorical__Pickup Location_Shastri Park,4.7e-05
categorical__Drop Location_Rohini East,4.5e-05
categorical__Pickup Location_Kherki Daula Toll,4.4e-05
categorical__Pickup Location_Sikanderpur,4.2e-05
categorical__Drop Location_Faridabad Sector 15,4.2e-05
categorical__Pickup Location_Noida Extension,3.9e-05
categorical__Drop Location_Palam Vihar,3.5e-05
