Drop Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Completion_Rate,Cancellation_Rate
Ashok Vihar,851,536,207,271219.0,62.98,24.32
AIIMS,850,510,231,258990.0,60.0,27.18
Kashmere Gate,850,531,205,276474.0,62.47,24.12
INA Market,850,543,205,284904.0,63.88,24.12
Vinobapuri,849,508,228,251945.0,59.84,26.86
Indraprastha,849,536,217,275472.0,63.13,25.56
Rajiv Nagar,849,531,205,271151.0,62.54,24.15
Raj Nagar Extension,848,546,214,274634.0,64.39,25.24
Moti Nagar,848,532,214,289183.0,62.74,25.24
Tagore Garden,848,542,197,290954.0,63.92,23.23
Welcome,848,539,197,274383.0,63.56,23.23
Nirman Vihar,848,528,217,265715.0,62.26,25.59
Laxmi Nagar,847,523,211,267713.0,61.75,24.91
New Delhi Railway Station,847,503,221,261789.0,59.39,26.09
IGNOU Road,847,538,188,267281.0,63.52,22.2
Chandni Chowk,847,524,210,278141.0,61.87,24.79
Vishwavidyalaya,846,536,205,278346.0,63.36,24.23
Connaught Place,846,495,232,254278.0,58.51,27.42
Adarsh Nagar,845,542,191,267124.0,64.14,22.6
Greater Kailash,845,519,211,269703.0,61.42,24.97
Saket,845,530,188,256515.0,62.72,22.25
Meerut,845,524,222,264723.0,62.01,26.27
Palam Vihar,845,516,210,286169.0,61.07,24.85
Saidulajab,844,526,207,268501.0,62.32,24.53
Mansarovar Park,844,523,215,279213.0,61.97,25.47
Azadpur,843,510,217,263479.0,60.5,25.74
Rajouri Garden,842,518,224,277505.0,61.52,26.6
Rohini West,841,512,207,257863.0,60.88,24.61
Vatika Chowk,841,532,209,277583.0,63.26,24.85
Pataudi Chowk,841,516,214,266215.0,61.36,25.45
Yamuna Bank,841,534,200,272926.0,63.5,23.78
Noida Sector 62,841,518,204,269352.0,61.59,24.26
Indirapuram,841,506,215,261594.0,60.17,25.56
Kherki Daula Toll,841,501,220,251303.0,59.57,26.16
Keshav Puram,839,497,241,230989.0,59.24,28.72
Qutub Minar,838,525,191,271839.0,62.65,22.79
Saket A Block,838,527,214,270337.0,62.89,25.54
Jahangirpuri,838,508,212,266011.0,60.62,25.3
IMT Manesar,838,513,208,264731.0,61.22,24.82
DLF City Court,837,525,216,262974.0,62.72,25.81
Govindpuri,837,492,232,259394.0,58.78,27.72
Panipat,836,538,195,264442.0,64.35,23.33
Ambience Mall,836,520,207,277033.0,62.2,24.76
Jasola,836,512,201,252977.0,61.24,24.04
Shastri Park,836,512,221,260372.0,61.24,26.44
Inderlok,835,522,208,258794.0,62.51,24.91
Mehrauli,832,514,209,258591.0,61.78,25.12
Lal Quila,832,553,193,282955.0,66.47,23.2
Hero Honda Chowk,831,533,202,280730.0,64.14,24.31
Jor Bagh,831,538,191,265669.0,64.74,22.98
Kadarpur,831,512,216,252557.0,61.61,25.99
Karol Bagh,830,521,201,266570.0,62.77,24.22
Anand Vihar,830,502,230,255541.0,60.48,27.71
Malviya Nagar,829,523,207,281498.0,63.09,24.97
Satguru Ram Singh Marg,829,512,214,251866.0,61.76,25.81
Udyog Bhawan,829,513,219,258377.0,61.88,26.42
IGI Airport,828,497,223,247007.0,60.02,26.93
Hauz Rani,828,519,206,272413.0,62.68,24.88
Gurgaon Sector 29,827,479,247,239623.0,57.92,29.87
Kirti Nagar,827,503,216,237579.0,60.82,26.12
Central Secretariat,826,493,222,258142.0,59.69,26.88
Maidan Garhi,826,516,208,271529.0,62.47,25.18
Pulbangash,826,539,186,289436.0,65.25,22.52
Badarpur,824,528,176,256476.0,64.08,21.36
Green Park,824,491,216,244919.0,59.59,26.21
Ramesh Nagar,820,513,189,242809.0,62.56,23.05
Mundka,819,508,193,248877.0,62.03,23.57
Sonipat,817,499,210,270039.0,61.08,25.7
Tughlakabad,817,489,199,241809.0,59.85,24.36
Patel Chowk,816,509,209,256675.0,62.38,25.61
Aya Nagar,815,524,194,255079.0,64.29,23.8
Badshahpur,815,478,219,228264.0,58.65,26.87
Ghitorni Village,815,499,194,252932.0,61.23,23.8
Barakhamba Road,815,502,210,239916.0,61.6,25.77
Subhash Chowk,815,500,210,244887.0,61.35,25.77
Sadar Bazar Gurgaon,813,507,206,242132.0,62.36,25.34
Golf Course Road,808,503,194,251161.0,62.25,24.01
Civil Lines Gurgaon,808,499,206,242396.0,61.76,25.5
Chanakyapuri,804,493,191,251521.0,61.32,23.76
Pragati Maidan,803,489,197,260345.0,60.9,24.53
Okhla,802,492,213,250970.0,61.35,26.56
Vasant Kunj,802,464,253,239165.0,57.86,31.55
IFFCO Chowk,801,495,184,269350.0,61.8,22.97
Seelampur,800,501,193,241926.0,62.62,24.12
MG Road,799,480,220,237985.0,60.08,27.53
Bhiwadi,792,484,202,249198.0,61.11,25.51
Shivaji Park,786,480,196,227852.0,61.07,24.94
Anand Vihar ISBT,784,504,197,257022.0,64.29,25.13
Huda City Centre,774,469,203,221785.0,60.59,26.23
