Pickup Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Avg_Ride_Distance,Completion_Rate,Cancellation_Rate
Ambience Mall,873,552,209,271413.0,23.64,63.23,23.94
Chanakyapuri,873,549,221,275326.0,25.64,62.89,25.32
Vasant Kunj,873,548,203,271870.0,23.81,62.77,23.25
Rithala,872,540,221,285900.0,24.96,61.93,25.34
GTB Nagar,872,520,242,267398.0,25.42,59.63,27.75
Aya Nagar,870,523,229,262994.0,25.08,60.11,26.32
Tughlakabad,869,552,205,299419.0,23.88,63.52,23.59
Vaishali,869,534,234,263692.0,24.9,61.45,26.93
Karol Bagh,869,530,223,267861.0,24.88,60.99,25.66
Mayur Vihar,868,540,214,287728.0,24.71,62.21,24.65
India Gate,868,554,202,287449.0,25.29,63.82,23.27
Shastri Nagar,868,547,207,284013.0,24.3,63.02,23.85
Badshahpur,868,506,235,260528.0,24.49,58.29,27.07
Punjabi Bagh,868,525,233,276471.0,24.43,60.48,26.84
Model Town,867,537,218,258110.0,25.33,61.94,25.14
Shastri Park,867,531,219,258704.0,25.21,61.25,25.26
Greater Noida,866,516,216,289735.0,24.8,59.58,24.94
Rohini East,866,547,235,273282.0,24.04,63.16,27.14
Keshav Puram,865,513,236,268930.0,24.84,59.31,27.28
DLF City Court,864,540,215,283417.0,24.73,62.5,24.88
Cyber Hub,864,524,212,265172.0,22.94,60.65,24.54
Civil Lines Gurgaon,863,537,212,274217.0,24.64,62.22,24.57
Botanical Garden,863,545,207,290768.0,25.41,63.15,23.99
Saidulajab,862,543,206,291251.0,23.59,62.99,23.9
Basai Dhankot,862,545,206,288300.0,25.15,63.23,23.9
Ghitorni,862,548,202,274295.0,24.7,63.57,23.43
Chandni Chowk,862,529,212,266517.0,24.71,61.37,24.59
Peeragarhi,861,552,197,286200.0,24.36,64.11,22.88
Subhash Nagar,861,555,194,289251.0,23.8,64.46,22.53
Ardee City,861,545,208,272766.0,24.26,63.3,24.16
Pulbangash,860,544,208,271265.0,24.36,63.26,24.19
Anand Vihar,859,553,199,270604.0,24.86,64.38,23.17
Adarsh Nagar,858,534,203,248255.0,25.0,62.24,23.66
Hero Honda Chowk,857,526,209,271729.0,25.04,61.38,24.39
Sonipat,857,534,212,247568.0,24.63,62.31,24.74
Kaushambi,855,525,210,274932.0,25.37,61.4,24.56
Sikanderpur,855,536,209,258756.0,25.8,62.69,24.44
Sarai Kale Khan,854,530,215,281749.0,24.8,62.06,25.18
Patel Chowk,854,529,221,258305.0,24.04,61.94,25.88
Indirapuram,854,503,227,258743.0,23.62,58.9,26.58
Delhi Gate,854,541,190,272962.0,24.54,63.35,22.25
Moti Nagar,853,546,208,268337.0,25.3,64.01,24.38
Huda City Centre,852,545,197,281084.0,24.54,63.97,23.12
Rajouri Garden,852,534,228,273201.0,25.44,62.68,26.76
Ghaziabad,851,522,210,269455.0,25.06,61.34,24.68
Pitampura,851,523,205,259956.0,25.5,61.46,24.09
Hauz Rani,850,514,223,260039.0,24.44,60.47,26.24
Indraprastha,850,513,224,272960.0,24.0,60.35,26.35
Sushant Lok,850,549,196,274911.0,24.76,64.59,23.06
RK Puram,850,550,196,275958.0,24.43,64.71,23.06
Jama Masjid,849,546,198,290846.0,24.14,64.31,23.32
Moolchand,848,532,216,257899.0,25.09,62.74,25.47
Janakpuri,848,520,219,264994.0,25.18,61.32,25.83
Bhiwadi,848,524,217,269032.0,25.05,61.79,25.59
Sarojini Nagar,848,535,214,277873.0,25.74,63.09,25.24
Rohini,847,530,197,260667.0,24.34,62.57,23.26
New Delhi Railway Station,847,522,214,266483.0,24.76,61.63,25.27
Sultanpur,847,536,197,283481.0,25.51,63.28,23.26
Azadpur,847,538,205,257861.0,24.62,63.52,24.2
Nirman Vihar,846,523,215,276909.0,24.78,61.82,25.41
Raj Nagar Extension,845,534,214,274190.0,24.5,63.2,25.33
Kadarpur,844,514,238,269632.0,24.66,60.9,28.2
Satguru Ram Singh Marg,844,519,215,266275.0,24.05,61.49,25.47
South Extension,844,539,191,264946.0,24.24,63.86,22.63
Panipat,843,516,208,264493.0,24.76,61.21,24.67
DLF Phase 3,842,518,216,258753.0,25.06,61.52,25.65
Tis Hazari,842,531,188,273585.0,24.28,63.06,22.33
Green Park,842,532,202,257467.0,26.65,63.18,23.99
Sohna Road,842,540,205,282269.0,24.55,64.13,24.35
IMT Manesar,840,544,192,289913.0,24.86,64.76,22.86
Dwarka Mor,840,527,185,272537.0,23.84,62.74,22.02
Narsinghpur,839,500,226,236183.0,24.02,59.59,26.94
Akshardham,839,471,248,228536.0,23.84,56.14,29.56
INA Market,839,527,211,260368.0,23.75,62.81,25.15
Central Secretariat,839,521,211,264649.0,24.37,62.1,25.15
Udyog Vihar Phase 4,838,527,209,263348.0,24.46,62.89,24.94
Udyog Bhawan,838,514,210,253382.0,24.92,61.34,25.06
Kashmere Gate ISBT,838,500,221,256166.0,24.16,59.67,26.37
Connaught Place,837,514,206,260786.0,24.24,61.41,24.61
Welcome,836,554,197,286354.0,24.48,66.27,23.56
Karkarduma,836,502,230,253495.0,25.01,60.05,27.51
Kashmere Gate,835,532,182,254841.0,24.26,63.71,21.8
Rohini West,835,519,204,280002.0,23.84,62.16,24.43
Noida Sector 62,834,517,208,255001.0,23.9,61.99,24.94
Meerut,834,518,196,259036.0,25.05,62.11,23.5
Vatika Chowk,833,489,225,230255.0,24.45,58.7,27.01
Seelampur,832,525,205,258775.0,24.0,63.1,24.64
Khan Market,832,507,221,258025.0,24.3,60.94,26.56
Preet Vihar,832,498,226,254597.0,25.33,59.86,27.16
Faridabad Sector 15,831,488,233,235749.0,24.18,58.72,28.04
Anand Vihar ISBT,831,511,209,277314.0,25.96,61.49,25.15
Mundka,830,511,216,264244.0,24.93,61.57,26.02
Rajiv Chowk,830,508,208,268052.0,23.98,61.2,25.06
Netaji Subhash Place,830,487,226,244133.0,25.19,58.67,27.23
IFFCO Chowk,830,491,221,249995.0,24.28,59.16,26.63
Chhatarpur,829,482,228,238788.0,24.42,58.14,27.5
Gurgaon Sector 56,829,519,206,269752.0,24.07,62.61,24.85
Lal Quila,827,490,207,240921.0,23.74,59.25,25.03
Govindpuri,827,507,206,249804.0,24.22,61.31,24.91
Kirti Nagar,827,502,219,253396.0,24.25,60.7,26.48
Noida Extension,827,505,217,267524.0,24.6,61.06,26.24
Okhla,827,525,189,279219.0,24.81,63.48,22.85
Lajpat Nagar,826,515,213,264373.0,24.85,62.35,25.79
IIT Delhi,826,525,194,257249.0,24.79,63.56,23.49
Vidhan Sabha,825,506,206,249580.0,24.29,61.33,24.97
Paharganj,825,501,196,269180.0,25.33,60.73,23.76
Paschim Vihar,825,513,192,257721.0,24.7,62.18,23.27
Uttam Nagar,825,523,197,260657.0,24.07,63.39,23.88
Maidan Garhi,825,515,216,256624.0,24.74,62.42,26.18
Jhilmil,824,509,206,259671.0,24.91,61.77,25.0
Kherki Daula Toll,824,513,212,279009.0,25.13,62.26,25.73
Manesar,824,517,223,261724.0,24.56,62.74,27.06
Gurgaon Sector 29,824,530,183,260208.0,25.66,64.32,22.21
Yamuna Bank,824,534,188,270581.0,24.37,64.81,22.82
Saket A Block,823,497,213,247082.0,23.84,60.39,25.88
Qutub Minar,823,496,233,251422.0,26.03,60.27,28.31
Vinobapuri,823,450,244,229414.0,24.73,54.68,29.65
Bhikaji Cama Place,821,494,213,249136.0,25.13,60.17,25.94
MG Road,820,504,205,248823.0,24.59,61.46,25.0
Shahdara,820,491,227,251730.0,24.16,59.88,27.68
Palam Vihar,818,524,189,252079.0,24.58,64.06,23.11
IGNOU Road,818,520,202,276112.0,26.04,63.57,24.69
Golf Course Road,818,508,212,254833.0,24.53,62.1,25.92
Sadar Bazar Gurgaon,817,517,188,244852.0,24.28,63.28,23.01
Gwal Pahari,815,516,198,256649.0,23.67,63.31,24.29
Munirka,815,486,232,243824.0,24.75,59.63,28.47
Ramesh Nagar,811,489,213,258279.0,25.13,60.3,26.26
Arjangarh,810,486,209,261918.0,24.84,60.0,25.8
Old Gurgaon,807,491,197,246509.0,25.47,60.84,24.41
Dilshad Garden,804,501,199,269652.0,24.69,62.31,24.75
Kalkaji,803,511,195,261871.0,24.81,63.64,24.28
Bahadurgarh,802,508,191,257934.0,25.2,63.34,23.82
Chirag Delhi,800,486,212,246596.0,24.56,60.75,26.5
Mandi House,800,503,196,252009.0,23.95,62.88,24.5
Noida Sector 18,799,502,190,261096.0,23.81,62.83,23.78
Laxmi Nagar,797,513,193,250303.0,24.86,64.37,24.22
Ashok Vihar,796,492,193,260059.0,24.49,61.81,24.25
Ghitorni Village,790,496,181,243939.0,24.4,62.78,22.91
