Pickup Location,Drop Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Avg_Ride_Distance,Avg_Booking_Value,Completion_Rate,Cancellation_Rate
Rohini East,Kaushambi,12,7,4,3183.0,23.84,454.71,58.33,33.33
Janakpuri,Bhikaji Cama Place,12,6,2,2990.0,28.58,439.5,50.0,16.67
Bhikaji Cama Place,Cyber Hub,12,8,2,4195.0,21.14,524.38,66.67,16.67
Udyog Vihar,Okhla,12,5,5,3506.0,26.94,638.83,41.67,41.67
Arjangarh,Narsinghpur,12,5,6,2469.0,25.14,536.83,41.67,50.0
IGI Airport,Vishwavidyalaya,12,6,4,2147.0,20.97,493.43,50.0,33.33
Shivaji Park,Mandi House,12,8,4,3665.0,22.28,458.12,66.67,33.33
Bhikaji Cama Place,Kanhaiya Nagar,12,9,2,3469.0,36.37,385.44,75.0,16.67
Central Secretariat,Arjangarh,12,7,4,5519.0,21.28,720.38,58.33,33.33
Subhash Chowk,IGNOU Road,12,11,1,5160.0,28.02,469.09,91.67,8.33
Noida Sector 18,Azadpur,12,9,1,4487.0,27.24,515.7,75.0,8.33
Azadpur,Raj Nagar Extension,12,10,2,4794.0,27.19,479.4,83.33,16.67
Noida Extension,Ashram,12,7,4,2863.0,26.11,409.0,58.33,33.33
Seelampur,Rajiv Nagar,12,7,2,3991.0,26.12,702.25,58.33,16.67
Ghitorni,South Extension,12,7,2,2343.0,25.93,439.89,58.33,16.67
Nawada,Delhi Gate,12,8,2,4532.0,29.93,578.22,66.67,16.67
Cyber Hub,Gurgaon Railway Station,12,9,1,8396.0,32.52,934.8,75.0,8.33
Subhash Chowk,Moti Nagar,12,8,3,3292.0,25.18,392.11,66.67,25.0
Model Town,Saket,12,6,4,2317.0,23.19,383.0,50.0,33.33
AIIMS,Madipur,12,6,3,2611.0,22.61,376.5,50.0,25.0
AIIMS,Saket,12,10,2,4549.0,23.01,454.9,83.33,16.67
Peeragarhi,Karkarduma,12,5,4,2745.0,24.68,524.0,41.67,33.33
Vaishali,Pitampura,12,5,4,2774.0,24.46,473.62,41.67,33.33
Sikanderpur,Pulbangash,12,7,2,4005.0,18.85,556.3,58.33,16.67
Seelampur,Jama Masjid,12,10,1,4171.0,21.41,417.1,83.33,8.33
Botanical Garden,Moti Nagar,12,7,3,4503.0,35.7,598.12,58.33,25.0
Pataudi Chowk,Kalkaji,12,9,1,3788.0,23.84,392.0,75.0,8.33
Cyber Hub,Rithala,12,7,5,3482.0,26.86,497.43,58.33,41.67
Tagore Garden,Moti Nagar,12,8,3,4151.0,19.42,476.22,66.67,25.0
Karkarduma,Vishwavidyalaya,12,6,3,2743.0,22.28,482.14,50.0,25.0
Rohini,Raj Nagar Extension,12,7,3,3193.0,26.26,501.0,58.33,25.0
IGI Airport,Tilak Nagar,12,6,4,2096.0,23.55,312.71,50.0,33.33
Basai Dhankot,Tilak Nagar,12,9,1,4313.0,22.03,463.7,75.0,8.33
Badshahpur,Madipur,12,7,2,4630.0,28.75,618.38,58.33,16.67
Rithala,Basai Dhankot,12,9,2,6097.0,20.08,627.8,75.0,16.67
Dwarka Sector 21,Govindpuri,12,10,1,5748.0,29.05,531.55,83.33,8.33
Khan Market,Sikanderpur,12,7,3,3210.0,16.03,458.57,58.33,25.0
Shahdara,Barakhamba Road,12,8,4,2749.0,25.52,343.62,66.67,33.33
Cyber Hub,Meerut,12,7,3,4321.0,18.27,618.56,58.33,25.0
Badarpur,Adarsh Nagar,12,7,4,2989.0,34.33,427.0,58.33,33.33
Gurgaon Railway Station,Jasola,12,9,1,4303.0,18.18,478.11,75.0,8.33
Mayur Vihar,Shastri Nagar,12,6,4,3657.0,21.01,804.38,50.0,33.33
Subhash Nagar,Bhiwadi,12,9,2,3837.0,23.85,463.4,75.0,16.67
Shivaji Park,Moolchand,12,7,4,5953.0,25.03,854.88,58.33,33.33
AIIMS,Kashmere Gate ISBT,12,9,2,4162.0,21.33,452.9,75.0,16.67
Noida Sector 18,Noida Film City,12,7,0,1669.0,25.45,355.56,58.33,0.0
Saket,Ghaziabad,12,9,2,4931.0,28.64,581.7,75.0,16.67
Arjangarh,Gurgaon Sector 56,12,8,3,3018.0,24.03,368.78,66.67,25.0
Nawada,Ramesh Nagar,12,8,3,3847.0,39.92,480.88,66.67,25.0
Shahdara,Dilshad Garden,12,9,3,4914.0,19.94,546.0,75.0,25.0
Dwarka Sector 21,Rohini,12,4,6,2443.0,26.99,567.8,33.33,50.0
Jasola,South Extension,12,8,4,3030.0,31.98,378.75,66.67,33.33
Lok Kalyan Marg,Jhilmil,12,11,1,4520.0,18.75,410.91,91.67,8.33
Kalkaji,Nehru Place,12,4,4,1021.0,26.53,237.33,33.33,33.33
Barakhamba Road,Dwarka Mor,12,7,5,2785.0,35.67,397.86,58.33,41.67
Panipat,Nirman Vihar,12,5,5,2654.0,29.02,530.8,41.67,41.67
Lok Kalyan Marg,Sikanderpur,12,8,2,2596.0,25.86,355.78,66.67,16.67
Gwal Pahari,Golf Course Road,12,8,3,6184.0,28.29,773.0,66.67,25.0
IGI Airport,Greater Kailash,12,6,5,1977.0,20.52,329.5,50.0,41.67
Rohini,Ramesh Nagar,12,8,2,4204.0,13.43,525.5,66.67,16.67
Tilak Nagar,Indraprastha,12,5,7,3178.0,21.31,635.6,41.67,58.33
Hero Honda Chowk,Dwarka Mor,12,8,3,5238.0,26.63,654.75,66.67,25.0
Munirka,Okhla,11,8,3,3683.0,28.49,460.38,72.73,27.27
Barakhamba Road,IMT Manesar,11,9,1,5821.0,27.17,671.3,81.82,9.09
Keshav Puram,Green Park,11,7,3,3700.0,32.59,528.57,63.64,27.27
Hero Honda Chowk,Ghitorni,11,5,4,2765.0,28.03,553.0,45.45,36.36
India Gate,Rajiv Chowk,11,6,4,2998.0,23.18,499.67,54.55,36.36
Pitampura,Okhla,11,7,2,2619.0,25.31,404.12,63.64,18.18
Samaypur Badli,India Gate,11,6,5,3071.0,26.43,511.83,54.55,45.45
Lajpat Nagar,Old Gurgaon,11,4,4,2138.0,24.07,529.0,36.36,36.36
Chhatarpur,Panchsheel Park,11,8,1,4959.0,23.37,619.88,72.73,9.09
Udyog Vihar,Tagore Garden,11,9,2,7940.0,30.98,882.22,81.82,18.18
Noida Film City,Faridabad Sector 15,11,7,2,3425.0,25.1,493.56,63.64,18.18
Ambience Mall,Pitampura,11,8,3,3889.0,20.2,486.12,72.73,27.27
Ambience Mall,Palam Vihar,11,4,4,1385.0,22.9,380.0,36.36,36.36
New Colony,Sushant Lok,11,4,5,1800.0,25.99,442.83,36.36,45.45
Kadarpur,Udyog Bhawan,11,5,5,2094.0,21.99,453.33,45.45,45.45
Indirapuram,Akshardham,11,10,1,6089.0,18.49,608.9,90.91,9.09
Ramesh Nagar,Chhatarpur,11,7,3,3420.0,34.22,488.57,63.64,27.27
New Colony,Udyog Bhawan,11,6,3,2659.0,25.56,466.57,54.55,27.27
Preet Vihar,Uttam Nagar,11,5,4,2770.0,30.22,536.0,45.45,36.36
Sarojini Nagar,Kashmere Gate,11,5,3,3053.0,18.44,552.83,45.45,27.27
Hero Honda Chowk,Laxmi Nagar,11,8,2,3263.0,28.03,385.11,72.73,18.18
Rajiv Chowk,Anand Vihar,11,8,3,3748.0,19.76,468.5,72.73,27.27
Hero Honda Chowk,Hauz Khas,11,10,0,4385.0,23.24,423.09,90.91,0.0
Greater Kailash,Shastri Park,11,8,2,3034.0,27.78,379.25,72.73,18.18
Lok Kalyan Marg,Tis Hazari,11,7,3,3344.0,33.44,448.25,63.64,27.27
Kadarpur,Rohini East,11,8,3,6113.0,23.09,764.12,72.73,27.27
Bhiwadi,Ashok Vihar,11,6,3,2357.0,24.71,351.57,54.55,27.27
Maidan Garhi,Nehru Place,11,9,2,4234.0,27.71,470.44,81.82,18.18
Mundka,ITO,11,2,4,725.0,12.95,370.75,18.18,36.36
Kadarpur,Jahangirpuri,11,7,3,3453.0,22.93,493.29,63.64,27.27
Lajpat Nagar,Shahdara,11,9,1,5080.0,24.87,564.44,81.82,9.09
Rohini,Jama Masjid,11,7,1,3631.0,21.64,534.6,63.64,9.09
DLF City Court,GTB Nagar,11,6,5,3849.0,31.4,641.5,54.55,45.45
Aya Nagar,Faridabad Sector 15,11,6,4,2579.0,23.93,417.14,54.55,36.36
Mundka,GTB Nagar,11,4,6,2183.0,20.53,545.75,36.36,54.55
Mehrauli,Ghaziabad,11,5,4,2109.0,23.57,421.8,45.45,36.36
Rohini East,Munirka,11,8,3,4444.0,17.94,555.5,72.73,27.27
Shastri Nagar,Satguru Ram Singh Marg,11,4,6,3250.0,19.83,812.5,36.36,54.55
Barakhamba Road,Sarojini Nagar,11,3,4,1757.0,22.23,585.57,27.27,36.36
Munirka,MG Road,11,7,3,3694.0,23.03,479.88,63.64,27.27
Aya Nagar,Hero Honda Chowk,11,6,3,2437.0,20.49,358.75,54.55,27.27
Badarpur,Ashram,11,4,5,1995.0,22.14,439.6,36.36,45.45
Tilak Nagar,ITO,11,6,5,2802.0,26.29,467.0,54.55,45.45
Vasant Kunj,Shivaji Park,11,8,2,5699.0,19.34,729.44,72.73,18.18
Preet Vihar,Chhatarpur,11,6,4,3112.0,19.8,465.0,54.55,36.36
Gurgaon Railway Station,Cyber Hub,11,7,3,2472.0,26.72,468.75,63.64,27.27
Badarpur,Arjangarh,11,8,2,4369.0,31.9,495.0,72.73,18.18
Samaypur Badli,Vidhan Sabha,11,8,3,4203.0,36.11,525.38,72.73,27.27
Seelampur,ITO,11,6,3,2764.0,29.41,460.67,54.55,27.27
Chanakyapuri,Vidhan Sabha,11,5,1,1671.0,23.33,446.83,45.45,9.09
Madipur,Bhiwadi,11,5,6,2067.0,17.09,413.4,45.45,54.55
Paschim Vihar,Gwal Pahari,11,4,2,2445.0,20.2,590.29,36.36,18.18
Shastri Park,Basai Dhankot,11,5,3,2109.0,19.65,330.0,45.45,27.27
Rithala,Vatika Chowk,11,8,3,6527.0,16.11,815.88,72.73,27.27
Subhash Chowk,Shahdara,11,8,2,2980.0,27.68,489.56,72.73,18.18
Badarpur,Kalkaji,11,6,3,2802.0,23.88,434.14,54.55,27.27
Jahangirpuri,Vidhan Sabha,11,6,3,3578.0,18.69,622.57,54.55,27.27
Kherki Daula Toll,Akshardham,11,5,1,1843.0,25.5,368.6,45.45,9.09
Munirka,Gwal Pahari,11,7,2,2682.0,28.16,347.0,63.64,18.18
Hauz Rani,Udyog Vihar Phase 4,11,7,1,3098.0,22.19,505.62,63.64,9.09
Chirag Delhi,Hauz Khas,11,6,3,1611.0,31.26,268.5,54.55,27.27
Laxmi Nagar,Inderlok,11,10,1,4693.0,28.37,469.3,90.91,9.09
Ashram,Pataudi Chowk,11,7,3,4631.0,23.97,661.57,63.64,27.27
Munirka,Bahadurgarh,11,6,2,2873.0,20.4,909.14,54.55,18.18
Bhiwadi,Rithala,11,5,3,3281.0,23.46,593.17,45.45,27.27
Sushant Lok,Maidan Garhi,11,9,1,4276.0,27.85,475.11,81.82,9.09
DLF Phase 3,AIIMS,11,6,3,2737.0,21.67,498.29,54.55,27.27
Chanakyapuri,Sohna Road,11,5,5,4622.0,25.96,824.67,45.45,45.45
Greater Noida,Rohini West,11,8,2,3789.0,39.97,473.62,72.73,18.18
Rajiv Chowk,Nawada,11,4,6,1767.0,23.53,441.75,36.36,54.55
Paschim Vihar,Central Secretariat,11,6,2,2487.0,29.24,435.57,54.55,18.18
Saidulajab,Indraprastha,11,7,2,5607.0,25.28,747.88,63.64,18.18
Ashram,Subhash Chowk,11,9,1,4109.0,25.85,419.9,81.82,9.09
Subhash Chowk,Tagore Garden,11,6,4,2738.0,37.05,456.33,54.55,36.36
Qutub Minar,Connaught Place,11,5,4,1984.0,16.86,396.8,45.45,36.36
Akshardham,Kherki Daula Toll,11,3,4,1261.0,17.56,495.6,27.27,36.36
DLF City Court,Kalkaji,11,7,3,3808.0,25.78,643.62,63.64,27.27
Vishwavidyalaya,Kirti Nagar,11,5,5,2818.0,13.56,494.83,45.45,45.45
Meerut,Udyog Bhawan,11,5,5,1707.0,19.42,425.67,45.45,45.45
Botanical Garden,Shivaji Park,11,5,6,5833.0,23.97,1166.6,45.45,54.55
Khandsa,Seelampur,11,5,3,2232.0,22.82,414.5,45.45,27.27
Welcome,DLF Phase 3,11,9,2,2682.0,22.36,298.0,81.82,18.18
Ashok Park Main,Mayur Vihar,11,7,3,3099.0,17.97,442.71,63.64,27.27
Anand Vihar ISBT,Tilak Nagar,11,7,4,5102.0,22.62,728.86,63.64,36.36
Chanakyapuri,Bahadurgarh,11,6,4,1816.0,26.87,330.86,54.55,36.36
Saket A Block,Ghitorni Village,11,7,1,3005.0,26.0,411.12,63.64,9.09
Punjabi Bagh,Barakhamba Road,11,6,4,3081.0,18.2,455.57,54.55,36.36
Tughlakabad,Mansarovar Park,11,6,3,2046.0,30.93,363.29,54.55,27.27
Vaishali,Sohna Road,11,6,4,2314.0,23.8,385.67,54.55,36.36
Udyog Vihar,Gurgaon Sector 56,11,7,3,4002.0,26.6,571.71,63.64,27.27
Ghitorni,Mandi House,11,10,1,6517.0,24.22,651.7,90.91,9.09
Jasola,Raj Nagar Extension,11,8,2,2350.0,13.81,303.56,72.73,18.18
Satguru Ram Singh Marg,Pulbangash,11,4,5,1231.0,12.59,345.6,36.36,45.45
Nehru Place,New Delhi Railway Station,11,8,1,3456.0,22.63,525.0,72.73,9.09
Vishwavidyalaya,Yamuna Bank,11,10,1,3047.0,35.86,304.7,90.91,9.09
Ghitorni,Saket,11,9,2,5896.0,20.71,655.11,81.82,18.18
Anand Vihar ISBT,Lajpat Nagar,11,6,1,3278.0,20.77,475.33,54.55,9.09
IMT Manesar,DLF City Court,11,7,3,3643.0,24.62,468.5,63.64,27.27
GTB Nagar,Kadarpur,11,9,1,3582.0,17.53,379.6,81.82,9.09
Subhash Nagar,Keshav Puram,11,4,6,1515.0,18.96,529.6,36.36,54.55
Dilshad Garden,Rohini East,11,6,2,2695.0,26.52,572.29,54.55,18.18
Bahadurgarh,Jama Masjid,11,10,1,5994.0,21.64,599.4,90.91,9.09
Jasola,Pataudi Chowk,11,7,4,3205.0,29.6,457.86,63.64,36.36
Sarojini Nagar,Saket A Block,11,6,5,6222.0,26.06,1037.0,54.55,45.45
Lok Kalyan Marg,Basai Dhankot,11,6,5,3963.0,32.06,660.5,54.55,45.45
Chhatarpur,Ardee City,11,8,2,4979.0,19.92,581.56,72.73,18.18
Badshahpur,Cyber Hub,11,6,3,2689.0,24.23,445.0,54.55,27.27
Mansarovar Park,Model Town,11,7,2,2685.0,26.34,478.0,63.64,18.18
Panipat,Lajpat Nagar,11,6,3,2959.0,26.25,456.0,54.55,27.27
Karkarduma,Chanakyapuri,11,7,4,2484.0,27.05,354.86,63.64,36.36
Satguru Ram Singh Marg,Khandsa,11,1,8,329.0,28.16,369.0,9.09,72.73
IGI Airport,Rohini West,11,8,2,2978.0,20.94,372.25,72.73,18.18
Manesar,Vishwavidyalaya,11,7,2,2846.0,18.56,475.0,63.64,18.18
Kanhaiya Nagar,Vaishali,11,10,1,4562.0,24.72,456.2,90.91,9.09
Ardee City,Nirman Vihar,11,8,1,4795.0,20.87,643.3,72.73,9.09
Subhash Nagar,Ramesh Nagar,11,6,3,2470.0,20.38,480.43,54.55,27.27
Khandsa,Basai Dhankot,11,6,4,2184.0,17.78,360.43,54.55,36.36
Ashok Park Main,Dwarka Sector 21,11,8,3,3284.0,22.3,410.5,72.73,27.27
IGI Airport,Tughlakabad,11,8,0,4019.0,28.98,528.6,72.73,0.0
Udyog Bhawan,Sushant Lok,11,5,6,2433.0,35.85,486.6,45.45,54.55
Ghaziabad,IFFCO Chowk,11,9,1,3888.0,18.76,439.9,81.82,9.09
Satguru Ram Singh Marg,New Delhi Railway Station,11,7,3,5026.0,26.44,749.5,63.64,27.27
Ghaziabad,Sultanpur,11,7,2,2337.0,17.38,333.86,63.64,18.18
Arjangarh,Tilak Nagar,11,6,4,2921.0,29.29,486.83,54.55,36.36
Ghaziabad,Lajpat Nagar,11,4,5,1833.0,33.63,436.4,36.36,45.45
Panchsheel Park,Badarpur,11,7,3,2715.0,13.5,387.86,63.64,27.27
Saket,Gurgaon Sector 56,11,8,2,2793.0,33.84,349.12,72.73,18.18
Ardee City,Connaught Place,11,4,6,1448.0,16.66,362.0,36.36,54.55
Rohini West,Pragati Maidan,11,8,1,3284.0,27.81,410.5,72.73,9.09
Kanhaiya Nagar,Satguru Ram Singh Marg,11,8,2,4667.0,16.98,583.38,72.73,18.18
Ardee City,Basai Dhankot,11,5,4,3261.0,22.16,652.2,45.45,36.36
Sonipat,Green Park,11,7,3,3336.0,24.38,476.57,63.64,27.27
New Colony,INA Market,11,7,3,3805.0,28.87,506.88,63.64,27.27
Karkarduma,IGI Airport,11,6,5,2954.0,25.06,492.33,54.55,45.45
Central Secretariat,New Colony,11,8,3,3648.0,27.47,456.0,72.73,27.27
Udyog Vihar,Kashmere Gate,11,8,3,2909.0,16.38,363.62,72.73,27.27
Nehru Place,Hauz Rani,11,6,4,3073.0,22.68,512.17,54.55,36.36
Shahdara,Netaji Subhash Place,11,5,4,2873.0,35.85,574.6,45.45,36.36
Chhatarpur,Jasola,11,7,2,5728.0,19.26,790.25,63.64,18.18
Sikanderpur,Rohini West,11,9,1,2969.0,31.95,329.89,81.82,9.09
IMT Manesar,Subhash Chowk,11,9,2,5388.0,26.85,598.67,81.82,18.18
Shastri Park,Sarai Kale Khan,11,9,2,5602.0,25.57,622.44,81.82,18.18
Panipat,Ashram,11,5,4,2845.0,26.5,569.0,45.45,36.36
Golf Course Road,Old Gurgaon,11,8,2,3245.0,33.46,405.62,72.73,18.18
Pulbangash,Jor Bagh,11,7,1,3300.0,21.43,482.0,63.64,9.09
Satguru Ram Singh Marg,Cyber Hub,11,4,3,2338.0,23.89,637.86,36.36,27.27
Lok Kalyan Marg,Noida Sector 62,11,7,2,3646.0,26.12,520.86,63.64,18.18
Ramesh Nagar,IGNOU Road,11,8,2,4065.0,29.43,508.12,72.73,18.18
Vasant Kunj,Hauz Khas,11,3,1,1516.0,17.99,489.0,27.27,9.09
Rithala,Noida Sector 18,11,7,2,2627.0,28.16,420.75,63.64,18.18
Lok Kalyan Marg,Ashram,11,8,3,5025.0,24.46,628.12,72.73,27.27
Keshav Puram,Moolchand,11,3,4,1982.0,18.15,507.0,27.27,36.36
Golf Course Road,Vatika Chowk,11,9,1,4688.0,23.97,479.0,81.82,9.09
Sikanderpur,Delhi Gate,11,8,1,1856.0,29.93,331.78,72.73,9.09
Paharganj,Kalkaji,11,5,2,2486.0,31.22,492.83,45.45,18.18
Noida Extension,Udyog Vihar Phase 4,11,6,4,3853.0,18.72,614.14,54.55,36.36
IGNOU Road,Faridabad Sector 15,11,6,5,3846.0,31.64,641.0,54.55,45.45
Badarpur,Peeragarhi,11,7,1,2305.0,18.92,291.33,63.64,9.09
Jahangirpuri,New Colony,11,8,2,6161.0,27.28,770.12,72.73,18.18
Satguru Ram Singh Marg,Kalkaji,11,6,3,1442.0,31.04,218.0,54.55,27.27
Botanical Garden,Lok Kalyan Marg,11,8,1,3422.0,23.03,437.11,72.73,9.09
Saidulajab,Patel Chowk,11,8,3,2888.0,28.27,361.0,72.73,27.27
Noida Extension,Noida Film City,11,6,3,4523.0,24.38,708.43,54.55,27.27
Patel Chowk,Tis Hazari,11,6,3,3227.0,16.59,537.83,54.55,27.27
Malviya Nagar,Punjabi Bagh,11,8,3,3886.0,27.96,485.75,72.73,27.27
Nawada,Laxmi Nagar,11,8,2,3071.0,26.56,383.88,72.73,18.18
Ghitorni Village,Gurgaon Railway Station,11,8,2,3733.0,30.37,466.62,72.73,18.18
Panchsheel Park,Noida Sector 18,11,6,4,2084.0,24.97,364.71,54.55,36.36
Anand Vihar ISBT,Chhatarpur,11,6,3,3807.0,24.71,634.5,54.55,27.27
Ghitorni Village,Khandsa,11,8,3,5359.0,23.75,669.88,72.73,27.27
Badarpur,South Extension,11,9,1,3665.0,18.39,457.2,81.82,9.09
Vaishali,Dwarka Mor,11,8,2,3087.0,26.05,385.88,72.73,18.18
Udyog Vihar,Mansarovar Park,11,6,4,7179.0,19.9,1046.71,54.55,36.36
Ghitorni Village,Rohini West,11,5,4,2385.0,17.55,519.33,45.45,36.36
Peeragarhi,Anand Vihar,11,10,1,4245.0,28.55,424.5,90.91,9.09
Kirti Nagar,Shahdara,11,7,3,3446.0,25.69,492.29,63.64,27.27
Udyog Vihar,Moti Nagar,11,9,2,5041.0,26.81,560.11,81.82,18.18
Anand Vihar,Sarai Kale Khan,11,6,3,3216.0,20.04,596.71,54.55,27.27
Welcome,Jasola,11,8,3,2593.0,28.4,324.12,72.73,27.27
IMT Manesar,Mehrauli,11,8,3,2866.0,27.0,358.25,72.73,27.27
South Extension,ITO,11,8,1,5532.0,15.24,703.67,72.73,9.09
RK Puram,Welcome,11,8,2,3887.0,30.4,446.0,72.73,18.18
Ramesh Nagar,Keshav Puram,11,6,2,4080.0,18.45,616.29,54.55,18.18
South Extension,IGNOU Road,11,9,2,6693.0,27.08,743.67,81.82,18.18
Saidulajab,South Extension,11,7,2,2295.0,10.64,455.38,63.64,18.18
IMT Manesar,Netaji Subhash Place,11,5,3,3829.0,23.57,712.43,45.45,27.27
New Colony,Nawada,11,9,2,4919.0,28.11,546.56,81.82,18.18
Vasant Kunj,DLF Phase 3,11,9,1,5128.0,19.97,547.0,81.82,9.09
Mayur Vihar,MG Road,11,9,1,5455.0,21.11,597.5,81.82,9.09
Sadar Bazar Gurgaon,Kalkaji,11,8,3,5041.0,19.06,630.12,72.73,27.27
Saket,Narsinghpur,11,9,0,5240.0,20.99,538.0,81.82,0.0
Pataudi Chowk,IIT Delhi,11,7,2,3620.0,19.83,475.62,63.64,18.18
Tagore Garden,IGI Airport,11,7,2,2887.0,22.92,403.25,63.64,18.18
Pragati Maidan,Karol Bagh,11,9,1,2938.0,23.26,333.5,81.82,9.09
