Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,DateTime,Year,Month,Month_Name,Day,Day_of_Week,Day_Name,Hour,Is_Weekend,Time_Period,Is_Completed,Is_Cancelled,Is_Incomplete,Is_No_Driver_Found,Booking_Outcome,Revenue,Fare_Per_KM,Has_Booking_Value,Has_Ride_Distance,Has_Driver_Rating,Has_Customer_Rating,Has_Payment_Method,Has_VTAT,Has_CTAT
2024-03-24,11:11:19,CNR1071255,Cancelled by Driver,CID4222557,Go Mini,MG Road,Moolchand,3.2,,,,1.0,Personal & Car related issues,,,,,,,,2024-03-24 11:11:19,2024,3,March,24,6,Sunday,11,1,Morning,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-03-21,07:35:07,CNR1071255,Completed,CID4439810,Go Sedan,Ghaziabad,Ramesh Nagar,7.0,34.3,,,,,,,436.0,15.37,4.3,4.3,Cash,2024-03-21 07:35:07,2024,3,March,21,3,Thursday,7,0,Morning,1,0,0,0,Completed,436.0,28.366948601171114,1,1,1,1,1,1,1
2024-10-07,20:06:47,CNR1076471,Completed,CID8425781,Go Sedan,Ashok Vihar,Yamuna Bank,4.0,26.1,,,,,,,116.0,24.14,4.2,4.6,UPI,2024-10-07 20:06:47,2024,10,October,7,0,Monday,20,0,Evening,1,0,0,0,Completed,116.0,4.8053024026512015,1,1,1,1,1,1,1
2024-02-12,12:58:19,CNR1076471,Completed,CID3616321,Bike,Rohini West,Anand Vihar ISBT,14.3,41.4,,,,,,,976.0,47.37,4.3,4.3,Uber Wallet,2024-02-12 12:58:19,2024,2,February,12,0,Monday,12,0,Afternoon,1,0,0,0,Completed,976.0,20.603757652522695,1,1,1,1,1,1,1
2024-11-05,17:32:53,CNR1077779,Cancelled by Customer,CID6213303,Premier Sedan,Greater Kailash,Madipur,19.0,,1.0,Driver is not moving towards pickup location,,,,,,,,,,2024-11-05 17:32:53,2024,11,November,5,1,Tuesday,17,0,Evening,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-08-20,11:29:28,CNR1077779,Completed,CID2252556,Go Mini,Vasant Kunj,Indraprastha,8.8,26.1,,,,,,,889.0,40.35,4.3,4.7,Cash,2024-08-20 11:29:28,2024,8,August,20,1,Tuesday,11,0,Morning,1,0,0,0,Completed,889.0,22.032218091697644,1,1,1,1,1,1,1
2024-12-15,09:21:59,CNR1079962,Completed,CID1210517,Auto,Nirman Vihar,Maidan Garhi,14.6,27.7,,,,,,,117.0,13.96,3.1,4.9,UPI,2024-12-15 09:21:59,2024,12,December,15,6,Sunday,9,1,Morning,1,0,0,0,Completed,117.0,8.3810888252149,1,1,1,1,1,1,1
2024-11-27,20:54:07,CNR1079962,Completed,CID1039185,Go Sedan,Mansarovar Park,Model Town,2.9,42.5,,,,,,,331.0,19.73,4.3,4.2,Cash,2024-11-27 20:54:07,2024,11,November,27,2,Wednesday,20,0,Evening,1,0,0,0,Completed,331.0,16.776482513938166,1,1,1,1,1,1,1
2024-08-13,10:39:17,CNR1091682,Completed,CID1590844,eBike,Punjabi Bagh,Khan Market,7.4,43.0,,,,,,,786.0,5.59,4.6,4.3,Credit Card,2024-08-13 10:39:17,2024,8,August,13,1,Tuesday,10,0,Morning,1,0,0,0,Completed,786.0,140.608228980322,1,1,1,1,1,1,1
2024-07-04,15:46:39,CNR1091682,Cancelled by Customer,CID1131593,Go Mini,Vishwavidyalaya,Botanical Garden,13.7,,1.0,Change of plans,,,,,,,,,,2024-07-04 15:46:39,2024,7,July,4,3,Thursday,15,0,Afternoon,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-07-28,02:06:31,CNR1125525,Cancelled by Driver,CID5846635,eBike,Nehru Place,Sohna Road,8.8,,,,1.0,The customer was coughing/sick,,,,,,,,2024-07-28 02:06:31,2024,7,July,28,6,Sunday,2,1,Night,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-09-18,10:08:25,CNR1125525,Cancelled by Customer,CID1702916,Auto,Seelampur,Chhatarpur,8.6,,1.0,Driver asked to cancel,,,,,,,,,,2024-09-18 10:08:25,2024,9,September,18,2,Wednesday,10,0,Morning,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-01-30,20:38:35,CNR1129818,Cancelled by Driver,CID8993312,Bike,Civil Lines Gurgaon,Manesar,3.4,,,,1.0,The customer was coughing/sick,,,,,,,,2024-01-30 20:38:35,2024,1,January,30,1,Tuesday,20,0,Evening,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-02-02,10:53:00,CNR1129818,Completed,CID9692280,Bike,Greater Kailash,Ramesh Nagar,12.3,21.9,,,,,,,283.0,7.87,4.5,4.2,Cash,2024-02-02 10:53:00,2024,2,February,2,4,Friday,10,0,Morning,1,0,0,0,Completed,283.0,35.95933926302414,1,1,1,1,1,1,1
2024-06-22,05:06:13,CNR1130025,Cancelled by Driver,CID5686876,Auto,Subhash Nagar,Kaushambi,4.6,,,,1.0,The customer was coughing/sick,,,,,,,,2024-06-22 05:06:13,2024,6,June,22,5,Saturday,5,1,Night,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-11-17,12:20:34,CNR1130025,Completed,CID4646812,Bike,Gurgaon Sector 29,Kanhaiya Nagar,9.9,22.7,,,,,,,1229.0,9.84,4.3,3.4,UPI,2024-11-17 12:20:34,2024,11,November,17,6,Sunday,12,1,Afternoon,1,0,0,0,Completed,1229.0,124.89837398373984,1,1,1,1,1,1,1
2024-12-30,18:18:50,CNR1143952,Completed,CID6138660,Bike,IGI Airport,Rajouri Garden,3.0,18.9,,,,,,,406.0,21.5,4.2,4.4,Debit Card,2024-12-30 18:18:50,2024,12,December,30,0,Monday,18,0,Evening,1,0,0,0,Completed,406.0,18.88372093023256,1,1,1,1,1,1,1
2024-01-17,15:04:57,CNR1143952,Cancelled by Driver,CID1795030,Auto,Noida Sector 62,Ghitorni Village,9.8,,,,1.0,Personal & Car related issues,,,,,,,,2024-01-17 15:04:57,2024,1,January,17,2,Wednesday,15,0,Afternoon,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-06-26,05:50:14,CNR1156110,No Driver Found,CID9436591,Go Mini,Qutub Minar,Huda City Centre,,,,,,,,,,,,,,2024-06-26 05:50:14,2024,6,June,26,2,Wednesday,5,0,Night,0,0,0,1,No Driver Found,0.0,,0,0,0,0,0,0,0
2024-07-26,11:40:42,CNR1156110,Cancelled by Customer,CID6894365,Premier Sedan,Jor Bagh,Welcome,15.7,,1.0,Driver asked to cancel,,,,,,,,,,2024-07-26 11:40:42,2024,7,July,26,4,Friday,11,0,Morning,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-01-04,18:32:18,CNR1170107,Completed,CID9384995,Go Sedan,Tilak Nagar,Vatika Chowk,14.7,35.0,,,,,,,861.0,3.26,3.9,3.0,Uber Wallet,2024-01-04 18:32:18,2024,1,January,4,3,Thursday,18,0,Evening,1,0,0,0,Completed,861.0,264.11042944785277,1,1,1,1,1,1,1
2024-05-09,11:42:36,CNR1170107,Cancelled by Driver,CID1537970,Auto,Patel Chowk,Madipur,8.3,,,,1.0,More than permitted people in there,,,,,,,,2024-05-09 11:42:36,2024,5,May,9,3,Thursday,11,0,Morning,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-04-08,12:16:53,CNR1179739,Cancelled by Driver,CID4465093,Premier Sedan,Jor Bagh,Sonipat,8.3,,,,1.0,The customer was coughing/sick,,,,,,,,2024-04-08 12:16:53,2024,4,April,8,0,Monday,12,0,Afternoon,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-04-23,09:16:10,CNR1179739,No Driver Found,CID8468490,Go Sedan,Jahangirpuri,Udyog Vihar Phase 4,,,,,,,,,,,,,,2024-04-23 09:16:10,2024,4,April,23,1,Tuesday,9,0,Morning,0,0,0,1,No Driver Found,0.0,,0,0,0,0,0,0,0
2024-01-06,17:23:43,CNR1194419,No Driver Found,CID6224212,Go Mini,Saket,DLF Phase 3,,,,,,,,,,,,,,2024-01-06 17:23:43,2024,1,January,6,5,Saturday,17,1,Evening,0,0,0,1,No Driver Found,0.0,,0,0,0,0,0,0,0
2024-04-25,16:29:55,CNR1194419,Completed,CID5281334,Go Mini,ITO,Rohini West,13.2,39.8,,,,,,,411.0,11.57,3.1,5.0,UPI,2024-04-25 16:29:55,2024,4,April,25,3,Thursday,16,0,Afternoon,1,0,0,0,Completed,411.0,35.522904062229905,1,1,1,1,1,1,1
2024-09-27,14:03:28,CNR1196124,Completed,CID6000627,Go Mini,Nehru Place,Laxmi Nagar,6.4,21.5,,,,,,,118.0,19.61,4.2,4.9,UPI,2024-09-27 14:03:28,2024,9,September,27,4,Friday,14,0,Afternoon,1,0,0,0,Completed,118.0,6.0173380928097915,1,1,1,1,1,1,1
2024-08-07,16:13:48,CNR1196124,Completed,CID9825687,Auto,Malviya Nagar,Noida Sector 18,3.6,25.6,,,,,,,159.0,33.21,3.9,3.7,Uber Wallet,2024-08-07 16:13:48,2024,8,August,7,2,Wednesday,16,0,Afternoon,1,0,0,0,Completed,159.0,4.787714543812105,1,1,1,1,1,1,1
2024-01-27,06:29:52,CNR1197269,Completed,CID2560362,Go Mini,Preet Vihar,Anand Vihar,6.5,16.6,,,,,,,798.0,22.48,4.2,3.0,UPI,2024-01-27 06:29:52,2024,1,January,27,5,Saturday,6,1,Morning,1,0,0,0,Completed,798.0,35.49822064056939,1,1,1,1,1,1,1
2024-10-12,08:41:57,CNR1197269,Completed,CID8132217,Go Mini,New Colony,Mayur Vihar,12.6,26.3,,,,,,,458.0,20.84,4.7,4.2,Cash,2024-10-12 08:41:57,2024,10,October,12,5,Saturday,8,1,Morning,1,0,0,0,Completed,458.0,21.976967370441457,1,1,1,1,1,1,1
2024-11-06,07:19:59,CNR1197334,Completed,CID8275402,Bike,Rajiv Chowk,Preet Vihar,8.6,42.9,,,,,,,861.0,39.58,3.3,4.2,Cash,2024-11-06 07:19:59,2024,11,November,6,2,Wednesday,7,0,Morning,1,0,0,0,Completed,861.0,21.753410813542192,1,1,1,1,1,1,1
2024-03-30,13:24:41,CNR1197334,Completed,CID4811646,Premier Sedan,Welcome,Sarai Kale Khan,3.8,29.7,,,,,,,419.0,38.83,3.8,4.3,Cash,2024-03-30 13:24:41,2024,3,March,30,5,Saturday,13,1,Afternoon,1,0,0,0,Completed,419.0,10.79062580479011,1,1,1,1,1,1,1
2024-01-30,09:49:29,CNR1197994,Incomplete,CID2020911,eBike,Panchsheel Park,Pitampura,4.7,15.0,,,,,1.0,Customer Demand,260.0,2.25,,,Cash,2024-01-30 09:49:29,2024,1,January,30,1,Tuesday,9,0,Morning,0,0,1,0,Incomplete,0.0,,1,1,0,0,1,1,1
2024-06-03,17:47:40,CNR1197994,Completed,CID1842431,Auto,Laxmi Nagar,Subhash Nagar,13.6,26.2,,,,,,,762.0,24.47,4.5,4.9,UPI,2024-06-03 17:47:40,2024,6,June,3,0,Monday,17,0,Evening,1,0,0,0,Completed,762.0,31.140171638741318,1,1,1,1,1,1,1
2024-12-16,16:45:13,CNR1205744,Cancelled by Driver,CID6734392,Go Sedan,Yamuna Bank,Jahangirpuri,3.6,,,,1.0,Customer related issue,,,,,,,,2024-12-16 16:45:13,2024,12,December,16,0,Monday,16,0,Afternoon,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-04-16,15:49:30,CNR1205744,Cancelled by Customer,CID5537003,eBike,Sushant Lok,Noida Sector 18,7.5,,1.0,Driver is not moving towards pickup location,,,,,,,,,,2024-04-16 15:49:30,2024,4,April,16,1,Tuesday,15,0,Afternoon,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-04-10,19:20:47,CNR1217171,Cancelled by Customer,CID3010412,Go Sedan,Udyog Vihar Phase 4,Panchsheel Park,6.9,,1.0,Driver is not moving towards pickup location,,,,,,,,,,2024-04-10 19:20:47,2024,4,April,10,2,Wednesday,19,0,Evening,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-04-05,09:02:32,CNR1217171,Completed,CID1674866,Bike,Nehru Place,Mehrauli,7.7,31.4,,,,,,,845.0,34.22,4.2,4.6,Cash,2024-04-05 09:02:32,2024,4,April,5,4,Friday,9,0,Morning,1,0,0,0,Completed,845.0,24.69316189362946,1,1,1,1,1,1,1
2024-10-10,10:18:32,CNR1227355,Cancelled by Customer,CID3685348,Go Mini,Nirman Vihar,Ghaziabad,14.0,,1.0,AC is not working,,,,,,,,,,2024-10-10 10:18:32,2024,10,October,10,3,Thursday,10,0,Morning,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-03-26,07:16:59,CNR1227355,Completed,CID1574747,Auto,Jor Bagh,Lajpat Nagar,7.7,20.4,,,,,,,431.0,23.43,4.1,4.7,UPI,2024-03-26 07:16:59,2024,3,March,26,1,Tuesday,7,0,Morning,1,0,0,0,Completed,431.0,18.395219803670507,1,1,1,1,1,1,1
2024-05-08,19:08:21,CNR1232977,No Driver Found,CID5003618,eBike,Connaught Place,Golf Course Road,,,,,,,,,,,,,,2024-05-08 19:08:21,2024,5,May,8,2,Wednesday,19,0,Evening,0,0,0,1,No Driver Found,0.0,,0,0,0,0,0,0,0
2024-03-14,09:12:38,CNR1232977,Completed,CID9425453,Premier Sedan,India Gate,Sarai Kale Khan,5.9,35.8,,,,,,,584.0,12.74,4.4,4.9,UPI,2024-03-14 09:12:38,2024,3,March,14,3,Thursday,9,0,Morning,1,0,0,0,Completed,584.0,45.83987441130298,1,1,1,1,1,1,1
2024-03-25,08:22:12,CNR1237120,No Driver Found,CID8492596,Go Sedan,Qutub Minar,Patel Chowk,,,,,,,,,,,,,,2024-03-25 08:22:12,2024,3,March,25,0,Monday,8,0,Morning,0,0,0,1,No Driver Found,0.0,,0,0,0,0,0,0,0
2024-03-08,07:24:12,CNR1237120,Completed,CID6327083,Go Sedan,Udyog Bhawan,Yamuna Bank,5.1,15.4,,,,,,,505.0,33.49,4.4,4.9,Credit Card,2024-03-08 07:24:12,2024,3,March,8,4,Friday,7,0,Morning,1,0,0,0,Completed,505.0,15.079128097939682,1,1,1,1,1,1,1
2024-05-26,15:33:36,CNR1237962,Completed,CID1570564,Bike,Chhatarpur,Civil Lines Gurgaon,14.6,41.2,,,,,,,2023.0,12.79,4.1,4.5,UPI,2024-05-26 15:33:36,2024,5,May,26,6,Sunday,15,1,Afternoon,1,0,0,0,Completed,2023.0,158.1704456606724,1,1,1,1,1,1,1
2024-05-24,17:00:20,CNR1237962,Completed,CID1820621,Go Mini,Lajpat Nagar,Mehrauli,4.6,25.6,,,,,,,63.0,5.61,4.1,3.7,Uber Wallet,2024-05-24 17:00:20,2024,5,May,24,4,Friday,17,0,Evening,1,0,0,0,Completed,63.0,11.22994652406417,1,1,1,1,1,1,1
2024-11-02,21:43:19,CNR1241798,Completed,CID6948761,Uber XL,Samaypur Badli,Adarsh Nagar,3.9,21.4,,,,,,,251.0,36.42,4.2,4.0,UPI,2024-11-02 21:43:19,2024,11,November,2,5,Saturday,21,1,Late Evening,1,0,0,0,Completed,251.0,6.891817682591982,1,1,1,1,1,1,1
2024-11-26,11:12:15,CNR1241798,Incomplete,CID7549492,Uber XL,Maidan Garhi,Sultanpur,3.3,27.9,,,,,1.0,Vehicle Breakdown,828.0,16.78,,,Cash,2024-11-26 11:12:15,2024,11,November,26,1,Tuesday,11,0,Morning,0,0,1,0,Incomplete,0.0,,1,1,0,0,1,1,1
2024-11-23,22:39:47,CNR1244669,Incomplete,CID6820196,Auto,Saket A Block,Sushant Lok,3.2,11.5,,,,,1.0,Other Issue,703.0,14.49,,,UPI,2024-11-23 22:39:47,2024,11,November,23,5,Saturday,22,1,Late Evening,0,0,1,0,Incomplete,0.0,,1,1,0,0,1,1,1
2024-07-04,10:12:44,CNR1244669,Cancelled by Customer,CID1089562,Bike,Okhla,Green Park,5.3,,1.0,Driver asked to cancel,,,,,,,,,,2024-07-04 10:12:44,2024,7,July,4,3,Thursday,10,0,Morning,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-01-04,14:56:17,CNR1260924,Cancelled by Driver,CID6560266,eBike,Rajouri Garden,Botanical Garden,10.2,,,,1.0,The customer was coughing/sick,,,,,,,,2024-01-04 14:56:17,2024,1,January,4,3,Thursday,14,0,Afternoon,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-08-30,20:52:59,CNR1260924,Completed,CID9869891,Premier Sedan,Central Secretariat,Mansarovar Park,5.1,27.1,,,,,,,61.0,29.68,4.2,3.6,Cash,2024-08-30 20:52:59,2024,8,August,30,4,Friday,20,0,Evening,1,0,0,0,Completed,61.0,2.055256064690027,1,1,1,1,1,1,1
2024-11-20,08:33:27,CNR1262874,Completed,CID3154313,Go Sedan,Adarsh Nagar,Lok Kalyan Marg,12.3,30.5,,,,,,,71.0,29.34,4.3,4.2,Uber Wallet,2024-11-20 08:33:27,2024,11,November,20,2,Wednesday,8,0,Morning,1,0,0,0,Completed,71.0,2.419904567143831,1,1,1,1,1,1,1
2024-10-17,19:01:54,CNR1262874,Cancelled by Driver,CID7587695,Go Sedan,Qutub Minar,Preet Vihar,7.0,,,,1.0,Customer related issue,,,,,,,,2024-10-17 19:01:54,2024,10,October,17,3,Thursday,19,0,Evening,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-03-12,20:59:04,CNR1275970,Cancelled by Driver,CID9047745,Premier Sedan,Hauz Rani,Bahadurgarh,11.0,,,,1.0,The customer was coughing/sick,,,,,,,,2024-03-12 20:59:04,2024,3,March,12,1,Tuesday,20,0,Evening,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-01-23,16:18:30,CNR1275970,Cancelled by Driver,CID9601488,Premier Sedan,Karol Bagh,Govindpuri,4.6,,,,1.0,Customer related issue,,,,,,,,2024-01-23 16:18:30,2024,1,January,23,1,Tuesday,16,0,Afternoon,0,1,0,0,Driver Cancelled,0.0,,0,0,0,0,0,1,0
2024-02-04,16:15:55,CNR1286993,Completed,CID2828891,Go Sedan,Kaushambi,Vatika Chowk,3.8,35.0,,,,,,,1212.0,6.72,4.1,4.8,Uber Wallet,2024-02-04 16:15:55,2024,2,February,4,6,Sunday,16,1,Afternoon,1,0,0,0,Completed,1212.0,180.35714285714286,1,1,1,1,1,1,1
2024-05-27,19:00:15,CNR1286993,Completed,CID3459762,Premier Sedan,MG Road,GTB Nagar,8.1,21.1,,,,,,,252.0,11.39,4.7,4.3,UPI,2024-05-27 19:00:15,2024,5,May,27,0,Monday,19,0,Evening,1,0,0,0,Completed,252.0,22.12467076382792,1,1,1,1,1,1,1
2024-10-26,06:07:28,CNR1296254,Completed,CID6430186,eBike,Hauz Rani,Bahadurgarh,2.8,30.9,,,,,,,271.0,27.17,4.1,4.2,UPI,2024-10-26 06:07:28,2024,10,October,26,5,Saturday,6,1,Morning,1,0,0,0,Completed,271.0,9.974236290025763,1,1,1,1,1,1,1
2024-04-22,08:34:05,CNR1296254,Completed,CID5067342,Auto,Munirka,Sadar Bazar Gurgaon,7.8,43.8,,,,,,,847.0,16.55,4.2,4.9,Cash,2024-04-22 08:34:05,2024,4,April,22,0,Monday,8,0,Morning,1,0,0,0,Completed,847.0,51.17824773413897,1,1,1,1,1,1,1
2024-02-01,20:10:40,CNR1301875,Completed,CID6843267,Go Mini,Delhi Gate,Bahadurgarh,14.5,37.0,,,,,,,179.0,40.14,4.1,4.5,Uber Wallet,2024-02-01 20:10:40,2024,2,February,1,3,Thursday,20,0,Evening,1,0,0,0,Completed,179.0,4.459392127553563,1,1,1,1,1,1,1
2024-01-23,10:49:07,CNR1301875,Incomplete,CID3776357,Bike,Sarai Kale Khan,Samaypur Badli,8.5,15.9,,,,,1.0,Customer Demand,302.0,7.39,,,Cash,2024-01-23 10:49:07,2024,1,January,23,1,Tuesday,10,0,Morning,0,0,1,0,Incomplete,0.0,,1,1,0,0,1,1,1
2024-08-16,11:42:48,CNR1319633,Completed,CID6418625,Go Sedan,Tughlakabad,Seelampur,6.6,17.9,,,,,,,421.0,49.67,3.8,4.3,UPI,2024-08-16 11:42:48,2024,8,August,16,4,Friday,11,0,Morning,1,0,0,0,Completed,421.0,8.475941211999194,1,1,1,1,1,1,1
2024-10-04,11:59:37,CNR1319633,Completed,CID3521169,eBike,Saidulajab,Lok Kalyan Marg,9.7,16.5,,,,,,,587.0,47.11,4.3,3.5,Debit Card,2024-10-04 11:59:37,2024,10,October,4,4,Friday,11,0,Morning,1,0,0,0,Completed,587.0,12.460199533007854,1,1,1,1,1,1,1
2024-12-11,16:57:54,CNR1326392,Cancelled by Customer,CID5959245,Auto,Azadpur,Cyber Hub,14.9,,1.0,Driver asked to cancel,,,,,,,,,,2024-12-11 16:57:54,2024,12,December,11,2,Wednesday,16,0,Afternoon,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-09-06,09:34:06,CNR1326392,Completed,CID5629038,Go Mini,Sarai Kale Khan,Model Town,10.7,34.1,,,,,,,307.0,30.11,4.7,4.6,UPI,2024-09-06 09:34:06,2024,9,September,6,4,Friday,9,0,Morning,1,0,0,0,Completed,307.0,10.19594818997011,1,1,1,1,1,1,1
2024-11-09,08:24:40,CNR1340328,No Driver Found,CID9772720,Go Sedan,Delhi Gate,Kalkaji,,,,,,,,,,,,,,2024-11-09 08:24:40,2024,11,November,9,5,Saturday,8,1,Morning,0,0,0,1,No Driver Found,0.0,,0,0,0,0,0,0,0
2024-10-09,10:43:12,CNR1340328,Completed,CID1372280,Premier Sedan,Pitampura,Kalkaji,11.2,39.0,,,,,,,435.0,39.09,4.6,4.3,Cash,2024-10-09 10:43:12,2024,10,October,9,2,Wednesday,10,0,Morning,1,0,0,0,Completed,435.0,11.128165771297006,1,1,1,1,1,1,1
2024-01-18,15:19:35,CNR1345690,Cancelled by Customer,CID1757801,Premier Sedan,Jama Masjid,Inderlok,8.8,,1.0,Driver asked to cancel,,,,,,,,,,2024-01-18 15:19:35,2024,1,January,18,3,Thursday,15,0,Afternoon,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-02-21,12:21:29,CNR1345690,Incomplete,CID8215744,Go Sedan,Madipur,Mehrauli,8.7,28.5,,,,,1.0,Vehicle Breakdown,447.0,3.15,,,Cash,2024-02-21 12:21:29,2024,2,February,21,2,Wednesday,12,0,Afternoon,0,0,1,0,Incomplete,0.0,,1,1,0,0,1,1,1
2024-11-03,07:50:46,CNR1346763,Completed,CID2995953,eBike,Azadpur,Gurgaon Sector 56,6.6,40.7,,,,,,,1130.0,42.71,4.2,4.3,UPI,2024-11-03 07:50:46,2024,11,November,3,6,Sunday,7,1,Morning,1,0,0,0,Completed,1130.0,26.457504097401078,1,1,1,1,1,1,1
2024-04-09,02:45:24,CNR1346763,Completed,CID7456777,Bike,Hero Honda Chowk,Nawada,2.0,43.1,,,,,,,638.0,39.06,3.8,4.0,UPI,2024-04-09 02:45:24,2024,4,April,9,1,Tuesday,2,0,Night,1,0,0,0,Completed,638.0,16.33384536610343,1,1,1,1,1,1,1
2024-12-16,19:50:17,CNR1349370,Completed,CID5638463,Go Mini,Paharganj,Manesar,4.3,42.1,,,,,,,196.0,46.2,4.8,4.2,Cash,2024-12-16 19:50:17,2024,12,December,16,0,Monday,19,0,Evening,1,0,0,0,Completed,196.0,4.242424242424242,1,1,1,1,1,1,1
